process_name=  mod_name= libc.so func_name= pthread_self 
process_name=  mod_name= libc.so func_name= __get_thread 
process_name=  mod_name= libc.so func_name= gettid 
process_name=  mod_name= libc.so func_name= __pthread_settid 
process_name=  mod_name= libc.so func_name= getuid 
process_name=  mod_name= libc.so func_name= cpuacct_add 
process_name= zygote mod_name= libc.so func_name= snprintf 
process_name= zygote mod_name= libc.so func_name= __vfprintf 
process_name= zygote mod_name= libc.so func_name= memcpy 
process_name= zygote mod_name= libc.so func_name= memcpy 
process_name= zygote mod_name= libc.so func_name= memcpy 
process_name= zygote mod_name= libc.so func_name= open 
process_name= zygote mod_name= libc.so func_name= __open 
process_name= zygote mod_name= libc.so func_name= write 
process_name= zygote mod_name= libc.so func_name= close 
process_name= zygote mod_name= libc.so func_name= __bionic_atfork_run_child 
process_name= zygote mod_name= libc.so func_name= pthread_mutexattr_init 
process_name= zygote mod_name= libc.so func_name= pthread_mutex_init 
process_name= zygote mod_name= libc.so func_name= pthread_mutexattr_destroy 
process_name= zygote mod_name= libc.so func_name= pthread_mutexattr_init 
process_name= zygote mod_name= libc.so func_name= pthread_mutexattr_settype 
process_name= zygote mod_name= libc.so func_name= pthread_mutex_init 
process_name= zygote mod_name= libc.so func_name= prctl 
process_name= zygote mod_name= libc.so func_name= prctl 
process_name= zygote mod_name= libc.so func_name= prctl 
process_name= zygote mod_name= libc.so func_name= __set_errno 
process_name= zygote mod_name= libc.so func_name= __errno 
process_name= zygote mod_name= libc.so func_name= __errno 
process_name= zygote mod_name= libc.so func_name= __errno 
process_name= zygote mod_name= libc.so func_name= strerror 
process_name= zygote mod_name= libcutils.so func_name= __android_log_print 
process_name= zygote mod_name= libc.so func_name= vsnprintf 
process_name= zygote mod_name= libc.so func_name= __vfprintf 
process_name= zygote mod_name= libc.so func_name= memcpy 
process_name= zygote mod_name= libc.so func_name= memcpy 
process_name= zygote mod_name= libc.so func_name= strlen 
process_name= zygote mod_name= libc.so func_name= memcpy 
process_name= zygote mod_name= libc.so func_name= memcpy 
process_name= zygote mod_name= libc.so func_name= memcpy 
process_name= zygote mod_name= libcutils.so func_name= __android_log_write 
process_name= zygote mod_name= libc.so func_name= strcmp 
process_name= zygote mod_name= libc.so func_name= strncmp 
process_name= zygote mod_name= libc.so func_name= strncmp 
process_name= zygote mod_name= libc.so func_name= strcmp 
process_name= zygote mod_name= libc.so func_name= strcmp 
process_name= zygote mod_name= libc.so func_name= strcmp 
